"n","Mean","Median","sd","Max","Min"
5000,6.286,6,0.516207778390127,8,5
10000,6.425,6,0.502620759248589,8,6
15000,6.717,7,0.450681832465115,7,6
20000,6.908,7,0.289170571842329,7,6
25000,6.981,7,0.136593036636783,7,6
