"n","Mean","Median","sd","Max","Min"
5000,3.819,4,0.790483310300644,7,2
10000,4.13,4,0.466173055117214,7,2
15000,4.065,4,0.262381104205017,6,4
20000,4.015,4,0.129583146249008,6,4
25000,4.012,4,0.11777041169101,6,4
