"n","Mean","Median","sd","Max","Min"
5000,6.286,6,0.521992793510099,8,5
10000,6.403,6,0.494808888194054,8,6
15000,6.712,7,0.45305767983918,7,6
20000,6.909,7,0.291210926655927,8,6
25000,6.981,7,0.136593036636783,7,6
