"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.98355,0.991666666666667,0.0211275093048661,1,0.883333333333333,0.223
10000,0.994491666666667,0.991666666666667,0.0066912241640934,1,0.941666666666667,0.408
15000,0.997441666666667,1,0.00480945310534428,1,0.95,0.713
20000,0.999233333333333,1,0.00240975476535273,1,0.991666666666667,0.908
25000,0.999841666666667,1,0.00113827530530652,1,0.991666666666667,0.981
