"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.900266666666667,0.9,0.0896477306154115,1,0.6,0.223
10000,0.981491666666667,1,0.0374911095011198,1,0.6,0.708
15000,0.994291666666667,1,0.0167949993318879,1,0.891666666666667,0.876
20000,0.997458333333333,1,0.0118673308656668,1,0.9,0.951
25000,0.998958333333333,1,0.00726547742148871,1,0.925,0.977
