"n","Mean","Median","sd","Max","Min"
5000,3.89,4,0.483874089132839,6,2
10000,4.007,4,0.113859404372076,5,3
15000,4.003,4,0.054717401199198,5,4
20000,4,4,0,4,4
25000,4,4,0,4,4
