"n","Mean","Median","sd","Max","Min"
5000,0.744988468269001,0.705882352941177,0.194836303692329,1,0.268292682926829
10000,0.945569608495713,1,0.102047202023406,1,0.285714285714286
15000,0.982131926478501,1,0.0519729221075007,1,0.676616915422886
20000,0.99212574304948,1,0.0365064096435183,1,0.705882352941177
25000,0.996729110752173,1,0.0226607389542079,1,0.761904761904762
