"n","Mean","Median","sd","Max","Min"
5000,3.845,4,0.881902915718478,7,2
10000,4.168,4,0.544125051869579,7,3
15000,4.127,4,0.380809684771824,6,3
20000,4.047,4,0.234191899616203,6,4
25000,4.025,4,0.174371458115729,6,4
