"n","Mean","Median","sd","Max","Min"
5000,0.817647801662747,0.774596669241483,0.132414894343913,1,0.472455591261534
10000,0.958350709558383,1,0.0762496988377099,1,0.577350269189626
15000,0.9858546063939,1,0.0411505098870398,1,0.746390491252467
20000,0.993758062414312,1,0.0289288546190726,1,0.771516749810459
25000,0.997405036265154,1,0.018004720958582,1,0.808693704220811
