"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.981891666666667,0.991666666666667,0.0243093211726213,1,0.866666666666667,0.264
10000,0.994833333333333,0.991666666666667,0.00719927825446155,1,0.941666666666667,0.466
15000,0.997441666666667,1,0.00489540669131176,1,0.941666666666667,0.714
20000,0.999225,1,0.00242148134521795,1,0.991666666666667,0.907
25000,0.999841666666667,1,0.00113827530530652,1,0.991666666666667,0.981
