"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.945116666666667,0.975,0.069025565520045,1,0.6,0.48
10000,0.99435,1,0.0186326239342363,1,0.866666666666667,0.908
15000,0.998466666666667,1,0.00920206560206338,1,0.941666666666667,0.972
20000,0.999475,1,0.00551178326449388,1,0.941666666666667,0.991
25000,0.999766666666667,1,0.00368378024637332,1,0.941666666666667,0.996
