"n","Mean","Median","sd","Max","Min"
5000,3.892,4,0.458853513167924,6,2
10000,4.015,4,0.150989396309138,6,3
15000,4.003,4,0.054717401199198,5,4
20000,4.001,4,0.0316227766016838,5,4
25000,4,4,0,4,4
