"n","Mean","Median","sd","Max","Min"
5000,0.939531265893612,0.968051118210863,0.0742062416627147,1,0.589041095890411
10000,0.978781011768094,0.968051118210863,0.0263386007766873,1,0.765886287625418
15000,0.990136548645455,1,0.0189954537184436,1,0.794520547945205
20000,0.997060702875399,1,0.00923867641668782,1,0.968051118210863
25000,0.999392971246006,1,0.0043639947807279,1,0.968051118210863
