"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.9808,0.991666666666667,0.0253596968699637,1,0.883333333333333,0.294
10000,0.994658333333333,1,0.00882405267279377,1,0.941666666666667,0.508
15000,0.997616666666667,1,0.00483434285822497,1,0.941666666666667,0.735
20000,0.9992,1,0.00245615540347769,1,0.991666666666667,0.904
25000,0.999833333333333,1,0.0011672504378649,1,0.991666666666667,0.98
