"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.982941666666667,0.991666666666667,0.0214499035487608,1,0.883333333333333,0.206
10000,0.994108333333333,0.991666666666667,0.00734055954065665,1,0.941666666666667,0.387
15000,0.9974,1,0.00490891339953124,1,0.941666666666667,0.709
20000,0.999225,1,0.00242148134521795,1,0.991666666666667,0.907
25000,0.999841666666667,1,0.00113827530530652,1,0.991666666666667,0.981
