"n","Mean","Median","sd","Max","Min"
5000,0.948741345445377,0.973328526784575,0.0607895819653676,1,0.692934867183583
10000,0.981062428267479,0.973328526784575,0.0240415194791715,1,0.800326730665041
15000,0.991620487651991,1,0.0163095326196265,1,0.800326730665041
20000,0.997518049779988,1,0.0077549780205421,1,0.97182531580755
25000,0.999493242008907,1,0.0036431375180715,1,0.973328526784575
