"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.948658333333333,1,0.0681062654529633,1,0.6,0.511
10000,0.994633333333333,1,0.0179271130241704,1,0.866666666666667,0.908
15000,0.998525,1,0.00902482626734845,1,0.941666666666667,0.973
20000,0.99945,1,0.00556583133758817,1,0.941666666666667,0.99
25000,0.999766666666667,1,0.00368378024637332,1,0.941666666666667,0.996
