"n","Mean","Median","sd","Max","Min","TrueCluster"
5000,0.889091666666667,0.875,0.096508361266524,1,0.6,0.187
10000,0.975483333333333,1,0.0418378498905147,1,0.75,0.644
15000,0.9917,1,0.0206628560534829,1,0.866666666666667,0.821
20000,0.996341666666667,1,0.0140611909912387,1,0.875,0.922
25000,0.998258333333333,1,0.00925920545529913,1,0.9,0.96
