"n","Mean","Median","sd","Max","Min"
5000,6.323,6,0.559449715331042,8,5
10000,6.502,6,0.521793319493713,8,6
15000,6.721,7,0.453171451400421,8,6
20000,6.907,7,0.290577761426155,7,6
25000,6.981,7,0.136593036636783,7,6
