"n","Mean","Median","sd","Max","Min"
5000,0.937131235500567,0.968051118210863,0.0756996154975855,1,0.640287769784173
10000,0.977328628129174,0.968051118210863,0.0286602457798822,1,0.765886287625418
15000,0.989980118857979,1,0.0193494402855882,1,0.765886287625418
20000,0.997027258059346,1,0.00928842787259989,1,0.966555183946488
25000,0.999392971246006,1,0.0043639947807279,1,0.968051118210863
